TOA5,CR1000_BigSky_WFork,CR1000,25170,CR1000.Std.16,CPU:WestFork_stage_cond_temp_60sec.CR1,56826,WF
TIMESTAMP,RECORD,Batt_Volt_Avg,AirTemp_Avg,H20Dist_Avg,H20Cond_Avg,H20Temp_Avg,Ct_Avg,Stage_Avg,AirTemp_SMP,H20Dist_SMP,Stage_SMP,H20Cond_SMP,Ct_SMP,H20Temp_SMP
TS,RN,Volts,Deg C,meters,mS/cm,Deg C,mS/cm,meters,Deg C,meters,meters,mS/cm,mS/cm,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp
2011-08-17 12:00:00,31098,13.76,23.40222,1.775998,0.2715664,10.62215,0.1739502,0.3240015,23.58521,1.77917,0.3208299,0.2710317,0.1757951,10.94458
2011-08-17 12:30:00,31099,13.7,24.7903,1.777573,0.2698308,11.30592,0.1774481,0.3224263,24.97397,1.774971,0.325029,0.2684126,0.1790549,11.68353
2011-08-17 13:00:00,31100,13.68,25.23935,1.776579,0.2660544,12.07967,0.18011,0.3234212,25.40948,1.777312,0.3226875,0.2631977,0.1808237,12.48105
2011-08-17 13:30:00,31101,13.7,25.23001,1.773729,0.2618728,12.82594,0.1821661,0.3262703,25.24765,1.771605,0.3283954,0.2599883,0.1831752,13.18207
2011-08-17 14:00:00,31102,13.73,25.63841,1.776094,0.2588864,13.52468,0.1846124,0.3239062,25.90042,1.771448,0.3285514,0.257556,0.1857707,13.85132
2011-08-17 14:30:00,31103,13.76,25.73033,1.776541,0.2565479,14.18167,0.1871601,0.3234593,25.80453,1.776395,0.3236045,0.2559103,0.1886103,14.48068
2011-08-17 15:00:00,31104,13.79,25.9367,1.77752,0.2554895,14.76093,0.190089,0.3224803,26.50882,1.772202,0.3277974,0.2554298,0.1916936,15.01898
2011-08-17 15:30:00,31105,13.78,26.71553,1.779868,0.2545363,15.28667,0.1927259,0.3201318,26.59256,1.78083,0.3191695,0.2543249,0.1938438,15.48758
2011-08-17 16:00:00,31106,13.77,26.45329,1.781323,0.2542419,15.62666,0.194664,0.3186768,26.92938,1.780782,0.3192174,0.254758,0.1955168,15.69843
2011-08-17 16:30:00,31107,13.75,26.97177,1.781991,0.2547047,15.85087,0.1964466,0.3180088,27.36902,1.790478,0.3095223,0.2545995,0.1970735,15.96213
2011-08-17 17:00:00,31108,13.73,27.06531,1.781115,0.2553357,15.97371,0.1977173,0.3188851,27.51196,1.780412,0.3195879,0.2557291,0.1985231,16.05209
2011-08-17 17:30:00,31109,13.71,26.8371,1.78124,0.2552443,16.07792,0.1983113,0.3187599,27.2124,1.79106,0.3089403,0.2555775,0.1986365,16.08826
2011-08-17 18:00:00,31110,13.73,27.00668,1.785798,0.2565773,16.05453,0.1991971,0.314202,26.88712,1.778561,0.3214391,0.2563305,0.198994,16.05273
2011-08-17 18:30:00,31111,13.74,27.29778,1.787382,0.2563456,16.0497,0.1989861,0.3126176,26.88712,1.786945,0.3130546,0.2564034,0.1987537,16.00641
